ds,y
1871-01,27.90875
1871-02,28.0871875
1871-03,28.50921875
1871-04,29.52234375
1871-05,29.7621875
1871-06,29.3096875
1871-07,28.36984375
1871-08,28.41109375
1871-09,28.3921875
1871-10,29.16171875
1871-11,29.3134375
1871-12,28.565
1872-01,28.02203125
1872-02,28.18015625
1872-03,28.72484375
1872-04,28.9325
1872-05,28.76625
1872-06,29.09921875
1872-07,29.42390625
1872-08,28.7196875
1872-09,29.07125
1872-10,29.319375
1872-11,29.6509375
1872-12,29.076875
1873-01,28.1959375
1873-02,28.2628125
1873-03,28.57546875
1873-04,28.95140625
1873-05,28.86109375
1873-06,28.47296875
1873-07,29.1
1873-08,29.04546875
1873-09,28.908125
1873-10,29.3015625
1873-11,29.14953125
1873-12,28.34890625
1874-01,27.9903125
1874-02,28.1621875
1874-03,28.74359375
1874-04,29.5125
1874-05,28.761875
1874-06,28.618125
1874-07,28.65140625
1874-08,28.28765625
1874-09,28.151875
1874-10,28.908125
1874-11,28.34140625
1874-12,27.52765625
1875-01,27.04234375
1875-02,27.6159375
1875-03,28.1928125
1875-04,28.7775
1875-05,28.72328125
1875-06,28.9590625
1875-07,29.2440625
1875-08,28.75140625
1875-09,29.0828125
1875-10,29.9153125
1875-11,29.3840625
1875-12,28.9228125
1876-01,28.52046875
1876-02,28.5375
1876-03,28.47703125
1876-04,28.98234375
1876-05,28.99953125
1876-06,29.16
1876-07,29.118125
1876-08,28.89734375
1876-09,28.799375
1876-10,28.65625
1876-11,27.98953125
1876-12,27.7153125
1877-01,27.73
1877-02,27.7759375
1877-03,28.03578125
1877-04,28.35546875
1877-05,28.603125
1877-06,29.2159375
1877-07,29.30578125
1877-08,28.99296875
1877-09,29.210625
1877-10,29.19890625
1877-11,28.8515625
1877-12,28.52890625
1878-01,28.35546875
1878-02,28.68859375
1878-03,29.15234375
1878-04,29.958125
1878-05,29.89390625
1878-06,29.98734375
1878-07,30.15171875
1878-08,30.05859375
1878-09,29.65359375
1878-10,29.22328125
1878-11,29.00234375
1878-12,28.62078125
1879-01,28.2171875
1879-02,28.14203125
1879-03,28.24484375
1879-04,28.41390625
1879-05,28.39703125
1879-06,28.82015625
1879-07,29.24375
1879-08,28.804375
1879-09,27.9871875
1879-10,27.93265625
1879-11,27.531875
1879-12,27.40890625
1880-01,27.5525
1880-02,27.70859375
1880-03,28.1534375
1880-04,28.68625
1880-05,28.79390625
1880-06,29.2678125
1880-07,29.0246875
1880-08,28.6928125
1880-09,28.06078125
1880-10,28.02609375
1880-11,27.91765625
1880-12,27.34375
1881-01,27.4965625
1881-02,27.525
1881-03,28.2340625
1881-04,28.67203125
1881-05,29.75375
1881-06,29.5809375
1881-07,29.1159375
1881-08,28.76078125
1881-09,28.60203125
1881-10,28.1959375
1881-11,28.3565625
1881-12,28.03921875
1882-01,27.879375
1882-02,27.718125
1882-03,27.80140625
1882-04,28.25140625
1882-05,28.49859375
1882-06,29.0665625
1882-07,28.8665625
1882-08,27.9921875
1882-09,27.33390625
1882-10,27.625
1882-11,27.95796875
1882-12,27.8378125
1883-01,27.60296875
1883-02,27.7503125
1883-03,28.26328125
1883-04,28.55609375
1883-05,28.5346875
1883-06,29.0840625
1883-07,29.01515625
1883-08,29.06703125
1883-09,28.97625
1883-10,27.80828125
1883-11,27.169375
1883-12,26.62546875
1884-01,26.8934375
1884-02,27.1765625
1884-03,27.3803125
1884-04,27.9784375
1884-05,28.44390625
1884-06,28.910625
1884-07,28.65984375
1884-08,28.49328125
1884-09,28.613125
1884-10,28.4896875
1884-11,28.47109375
1884-12,28.145625
1885-01,27.54171875
1885-02,27.4184375
1885-03,27.775
1885-04,28.6096875
1885-05,28.73140625
1885-06,29.65625
1885-07,29.7778125
1885-08,29.4196875
1885-09,28.46875
1885-10,28.2715625
1885-11,28.2121875
1885-12,28.10625
1886-01,27.99640625
1886-02,27.97515625
1886-03,28.34125
1886-04,28.634375
1886-05,28.8128125
1886-06,29.35703125
1886-07,28.63359375
1886-08,27.8003125
1886-09,27.7353125
1886-10,27.76296875
1886-11,27.6515625
1886-12,27.6565625
1887-01,27.4675
1887-02,27.693125
1887-03,27.96703125
1887-04,28.1759375
1887-05,28.46125
1887-06,28.7909375
1887-07,28.0978125
1887-08,27.69078125
1887-09,27.72125
1887-10,27.7575
1887-11,27.61140625
1887-12,27.86625
1888-01,27.38125
1888-02,27.6165625
1888-03,28.36875
1888-04,28.6109375
1888-05,28.4684375
1888-06,29.019375
1888-07,28.78125
1888-08,28.44328125
1888-09,28.18171875
1888-10,28.53453125
1888-11,29.01609375
1888-12,28.77359375
1889-01,27.843125
1889-02,27.3996875
1889-03,27.9059375
1889-04,28.74171875
1889-05,28.6253125
1889-06,28.9934375
1889-07,28.7196875
1889-08,28.37140625
1889-09,27.86484375
1889-10,27.76671875
1889-11,27.55078125
1889-12,27.5053125
1890-01,27.5271875
1890-02,27.57390625
1890-03,28.114375
1890-04,28.5534375
1890-05,28.4415625
1890-06,28.4646875
1890-07,27.89
1890-08,27.5453125
1890-09,27.604375
1890-10,27.48828125
1890-11,27.11765625
1890-12,27.16203125
1891-01,27.28484375
1891-02,27.46921875
1891-03,28.12984375
1891-04,28.69078125
1891-05,28.52890625
1891-06,28.77359375
1891-07,28.50984375
1891-08,28.55484375
1891-09,28.481875
1891-10,28.168125
1891-11,27.86546875
1891-12,27.65390625
1892-01,27.731875
1892-02,27.86875
1892-03,28.26
1892-04,28.50078125
1892-05,28.80140625
1892-06,29.44890625
1892-07,29.04359375
1892-08,28.26234375
1892-09,27.67078125
1892-10,27.51578125
1892-11,27.43765625
1892-12,27.17375
1893-01,27.3725
1893-02,27.45640625
1893-03,27.67671875
