ds,y
1871-01,35.4325
1871-02,34.958125
1871-03,34.4521875
1871-04,34.40671875
1871-05,35.0190625
1871-06,35.4553125
1871-07,35.89609375
1871-08,36.00515625
1871-09,36.0678125
1871-10,36.111875
1871-11,35.885
1871-12,35.53546875
1872-01,35.03015625
1872-02,34.5515625
1872-03,34.58640625
1872-04,34.69375
1872-05,34.891875
1872-06,35.28890625
1872-07,35.66546875
1872-08,35.8896875
1872-09,35.89984375
1872-10,35.84125
1872-11,35.61640625
1872-12,35.54
1873-01,34.8190625
1873-02,34.575
1873-03,34.6275
1873-04,34.8184375
1873-05,34.901875
1873-06,35.28390625
1873-07,35.6559375
1873-08,35.93875
1873-09,35.984375
1873-10,35.9765625
1873-11,35.62125
1873-12,35.124375
1874-01,34.736875
1874-02,34.4446875
1874-03,34.4653125
1874-04,34.640625
1874-05,34.8965625
1874-06,35.324375
1874-07,35.65375
1874-08,35.86140625
1874-09,35.9028125
1874-10,35.6990625
1874-11,35.6559375
1874-12,35.2271875
1875-01,34.32078125
1875-02,34.62375
1875-03,34.4746875
1875-04,34.57953125
1875-05,34.60671875
1875-06,34.865625
1875-07,35.19375
1875-08,35.55796875
1875-09,35.66046875
1875-10,35.40375
1875-11,35.3753125
1875-12,35.18625
1876-01,34.2328125
1876-02,34.130625
1876-03,34.31796875
1876-04,34.525625
1876-05,34.6203125
1876-06,34.8571875
1876-07,35.20515625
1876-08,35.7290625
1876-09,35.88671875
1876-10,35.78109375
1876-11,35.496875
1876-12,35.46875
1877-01,34.5284375
1877-02,34.35609375
1877-03,34.5603125
1877-04,34.790625
1877-05,34.80640625
1877-06,35.071875
1877-07,35.5825
1877-08,35.83234375
1877-09,35.819375
1877-10,35.67453125
1877-11,35.35515625
1877-12,35.13390625
1878-01,34.87015625
1878-02,34.33046875
1878-03,34.103125
1878-04,34.0271875
1878-05,34.411875
1878-06,34.7578125
1878-07,35.42765625
1878-08,35.8340625
1878-09,35.78015625
1878-10,35.71484375
1878-11,35.6275
1878-12,35.52875
1879-01,34.72375
1879-02,34.33796875
1879-03,34.62484375
1879-04,34.8625
1879-05,35.0159375
1879-06,35.43625
1879-07,35.81484375
1879-08,35.98359375
1879-09,36.05984375
1879-10,36.01484375
1879-11,35.88703125
1879-12,35.48046875
